                x           y           z
399      8.422210  -30.358344 -246.758799
400      7.451386  -30.695966 -247.796676
401      6.262831  -31.109818 -249.278482
402      5.876127  -31.242829 -252.212944
403      5.444596  -31.390564 -254.411779
404      6.063454  -31.169649 -253.956134
405      7.275246  -30.739458 -250.290348
406      7.398610  -30.687068 -247.251313
407      8.017067  -30.457730 -246.986322
408      9.433485  -29.943980 -242.572513
409     10.610887  -29.506142 -239.192580
410     11.886763  -29.023062 -236.699724
411     12.587931  -28.725649 -238.652359
412     14.158508  -28.101096 -244.910324
413     15.623122  -27.459595 -247.500310
414     16.258610  -27.317934 -249.664608
415     16.441159  -27.377473 -252.773755
416     16.871195  -27.086996 -252.208388
417     16.517298  -27.429759 -251.002166
418     16.418822  -27.516401 -248.008452
419     16.402384  -27.521900 -242.194814
420     16.043796  -27.833421 -238.275171
421     15.787830  -28.055923 -233.946019
422     15.883464  -27.966757 -233.852210
423     15.861976  -27.983647 -232.363479
424     16.380899  -27.518375 -231.331862
425     16.536156  -27.377794 -233.606146
426     16.872092  -27.075176 -239.810139
427     17.169898  -26.805525 -244.558447
428     17.663997  -26.358967 -245.884943
429     17.168679  -26.793945 -246.720885
430     16.989251  -26.943657 -246.094985
431     17.325823  -26.628088 -243.358997
432     17.512970  -26.439801 -241.553107
433     17.928926  -26.038413 -242.958230
434     18.180468  -25.771554 -244.240399
435     18.378313  -25.535241 -246.044268
436     18.609369  -25.244654 -243.664864
437     19.727360  -24.127076 -240.098623
438     21.205830  -22.638368 -236.291714
439     23.336612  -20.481361 -236.587405
440     25.092886  -18.594717 -236.414324
441     25.865693  -18.051766 -238.546689
442     26.032875  -18.230258 -240.396323
443     26.100647  -18.293931 -243.484130
444     26.247512  -18.034959 -242.739866
445     26.650393  -17.182857 -244.823574
446     26.841900  -16.754609 -248.638087
447     26.552923  -17.326316 -252.610318
448     26.531218  -17.349490 -254.909056
449     26.675602  -17.031729 -252.206457
450     26.860568  -16.629598 -249.976149
451     26.500152  -17.355144 -251.545512
452     26.437118  -17.455586 -252.951106
453     26.571540  -17.133953 -251.335040
454     26.759128  -16.684200 -247.925333
455     26.768399  -16.579312 -243.320300
456     26.933608  -16.115287 -243.552112
457     27.348118  -15.083778 -247.971586
458     27.802795  -13.898103 -248.834516
459     28.285196  -12.554846 -247.348162
460     29.336414   -9.837663 -245.069623
461     30.224284   -7.593168 -242.224085
462     30.792646   -6.091889 -243.047227
463     31.097233   -5.151485 -246.961559
464     31.228677   -4.685280 -248.807107
465     31.266859   -4.531493 -246.696542
466     31.222240   -5.289696 -246.990132
467     31.229229   -4.979828 -246.198820
468     31.233676   -4.727000 -249.308791
469     31.253759   -4.252974 -254.065779
470     31.225474   -4.686978 -256.765675
471     31.180953   -5.440811 -255.805665
472     31.210643   -4.894285 -251.249347
473     31.214934   -4.801316 -249.217148
474     31.190728   -5.209328 -243.688861
475     31.178721   -5.391733 -239.368047
476     31.217087   -4.666914 -237.811717
477     31.212128   -4.690375 -234.367281
478     31.235875   -4.177558 -233.762248
479     31.232271   -4.111269 -235.555467
480     31.185707   -4.752549 -235.021615
481     31.130255   -5.475175 -236.698742
482     31.076208   -6.065247 -239.839133
483     31.079737   -5.482728 -244.476445
484     31.090634   -4.554789 -246.965600
485     31.072718   -3.834281 -245.671212
486     31.075549   -2.317146 -243.845531
487     31.061704   -0.489807 -245.886285
488     31.001000    2.362597 -246.570851
489     31.233752    3.799947 -248.638594
490     31.244507    5.047493 -252.918559
491     30.887617    6.706452 -255.997649
492     30.709400    7.468045 -255.077696
493     30.807089    7.248952 -253.841752
494     31.015509    6.638304 -250.327649
495     30.933035    6.842288 -248.073269
496     30.531079    7.964886 -244.056810
497     30.315303    8.564785 -243.660421
498     30.342690    8.477388 -245.006609
499     30.310263    8.566184 -243.017616
500     30.499950    8.022286 -242.654763
501     30.979445    6.650455 -246.148179
502     31.370939    5.530435 -248.739957
503     31.499457    5.162260 -245.234804
504     31.367861    5.537536 -244.825679
505     30.884957    6.916949 -246.285297
506     30.655566    7.570454 -248.646783
507     30.482083    8.062913 -249.644432
508     30.664854    7.534877 -249.090186
509     30.547728    7.862381 -244.555873
510     30.122989    9.066619 -238.672532
511     29.456988   10.956528 -236.078988
512     28.933523   12.432589 -235.035930
513     28.592826   13.377210 -233.504229
514     28.149553   14.601909 -235.224626
515     27.857784   15.477913 -239.600428
516     27.325665   16.399176 -239.108308
517     26.371799   17.625579 -240.813271
518     26.052982   18.042716 -245.910346
519     26.742854   17.283043 -248.348450
520     27.471776   16.461807 -250.134674
521     27.505271   16.415557 -248.805796
522     26.852207   17.139650 -245.232973
523     26.043748   18.040427 -247.022473
524     25.362235   18.801252 -248.233953
525     25.439534   18.713891 -244.708160
526     26.461279   17.569875 -243.031816
527     27.040602   16.921481 -238.776512
528     26.595879   17.419717 -237.301712
529     26.456887   17.575750 -235.662585
530     26.772880   17.222506 -236.867395
531     26.722208   17.279942 -241.005727
532     26.983751   16.988092 -241.746096
533     26.670878   17.339716 -241.489868
